id;displayed_text;sentence;YAML;;;;;;;;;;;;;;;;;;
doc_0;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Olt County<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the imperial system (feet (ft), yards (yd), miles (mi)).<br /><br />The overall style of your prompt should be:<br /> - Simple language, multiple sentences.<br /><br />Additional instructions:<br /> - None<br />";Find a Biergarten in Olt County. It is 33 feet from a parking space. There is a chash machine 51,34 yards away. ;"area:
  type: area
  value: Olt County
entities:
  - id: 0
    type: nwr
    name: Biergarten
  - id: 1
    type: nwr
    name: parking space
  - id: 1
    type: nwr
    name: chash machine
relations:
  - type: dist
    source: 0
    target: 1
    value: 33 feet
  - type: dist
    source: 0
    target: 2
    value: 51,34 yards";;;;;;;;;;;;;;;;;;
doc_252;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Shatoy, Chechen Republic, Russia<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the imperial system (feet (ft), yards (yd), miles (mi)).<br /> - Pick a relative relation of objects to each other from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EaPukmnqYUFLssJ5nKvuPLQBjBFaIqB_URY6M5wzaKBlsA?e=r4ftNa"">list of relative distance terms</a><br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, multiple sentences.<br /> - Containing a few typos.<br /><br />Additional instructions:<br /> - None<br />";Show me all caffes within 400 yyards of a police station in Shatoy, Chechen Republic, Russia. There should be a public trash can in front of the police station.;"area:
    type: area
    value: Shatoy, Chechen Republic, Russia
entities:
  - id: 0
    type: nwr
    name: caffes
  - id: 1
    type: nwr
    name: police station
  - id: 2
    type: nwr
    name: public trash can
relations:
  - type: dist
    source: 0
    target: 1
    value: 400 yards
  - type: dist
    source: 0
    target: 2
    value: 150 m";;;;;;;;;;;;;;;;;;
doc_254;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Petro-Slavyanka, Saint Petersburg, Russia<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the metric system (meters (m), kilometers (km)).<br /><br />The overall style of your prompt should be:<br /> - Simple language, multiple sentences.<br /><br />Additional instructions:<br /> - Please treat one of the objects as a cluster of 8 of this Object when writing the prompt (similar to ""three houses"" instead of ""house"").<br />";Find 8 street lamps 125,20m from a police station. The lamps are at max 1,5m apart from each other. The location is Petro-Slavyanka, Saint Petersburg, Russia. There is a fire hydrant 3 m away from the station.;"area:
  type: area
  value: Petro-Slavyanka, Saint Petersburg
entities:
  - id: 0
    type: cluster
    name: street lamps
    minPoints: 8
    maxDistance: 1,5m
  - id: 1
    type: nwr
    name: police station
  - id: 2
    type: nwr
    name: fire hydrant
relations:
  - type: dist
    source: 0
    target: 1
    value: 125,20m
  - type: dist
    source: 1
    target: 2
    value: 3 m";;;;;;;;;;;;;;;;;;
doc_259;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Praderas del Potrero<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - At least one object contains one or more of the other objects.<br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, multiple sentences.<br /><br />Additional instructions:<br /> - None<br />";I have a specific request regarding Praderas del Potrero. I want to find all music venues, community centers, and bars where the community center contains both the music venue and the bar. Please mark the results on the map.;"area:
  type: area
  value: Praderas del Potrero
entities:
  - id: 0
    type: nwr
    name: music venue
  - id: 1
    type: nwr
    name: community centers
  - id: 2
    type: nwr
    name: bar
relations:
  - type: contains
    source: 1
    target: 0
  - type: contains
    source: 1
    target: 2  ";;;;;;;;;;;;;;;;;;
doc_257;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /> - At least one of the objects must be a brand name.<br /><br />The area you are searching in is:<br /> - Arch, Switzerland<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the metric system (meters (m), kilometers (km)).<br /> - At least one object contains one or more of the other objects.<br /><br />The overall style of your prompt should be:<br /> - Short and precise, multiple sentences.<br /> - Containing a few grammar mistakes.<br /> - Containing a few typos.<br /><br />Additional instructions:<br /> - None<br />";Focus on Arch, Swizerland. Find a restaurant within 1.5km of a buss station. Restaurant have should a public toilet inside.;"area:
  type: area
  value: Arch, Swizerland
entities:
  - id: 0
    type: nwr
    name: restaurant
  - id: 1
    type: nwr
    name: buss station
  - id: 2
    type: nwr
    name: public toilet
relations:
  - type: dist
    source: 0
    target: 1
    value: 1.5km
  - type: contains
    source: 0
    target: 2  ";;;;;;;;;;;;;;;;;;
doc_255;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Abruzzo, Italy<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the metric system (meters (m), kilometers (km)).<br /> - At least one object contains one or more of the other objects.<br /> - Pick a relative relation of objects to each other from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EaPukmnqYUFLssJ5nKvuPLQBjBFaIqB_URY6M5wzaKBlsA?e=r4ftNa"">list of relative distance terms</a><br /><br />The overall style of your prompt should be:<br /> - Simple language, all in one sentence.<br /><br />Additional instructions:<br /> - Please treat one of the objects as a cluster of 4 of this Object when writing the prompt (similar to ""three houses"" instead of ""house"").<br />";Find all parks within 2.5km of a beach in Abruzzo, Italy, with a focus on parks that have at least 4 benches not more than 15m apart.;"area:
  type: area
  value: Abruzzo, Italy
entities:
  - id: 0
    type: nwr
    name: parks
  - id: 1
    type: nwr
    name: beach
  - id: 2
    type: cluster
    name: benches
    minPoints: 4
    maxDistance: 15m
relations:
  - type: dist
    source: 0
    target: 1
    value: 2.5km
  - type: contains
    source: 0
    target: 2 ";;;;;;;;;;;;;;;;;;
doc_325;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Please don't specify a search area.<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - At least one object contains one or more of the other objects.<br /><br />The overall style of your prompt should be:<br /> - Simple language, all in one sentence.<br /> - Containing a few grammar mistakes.<br /><br />Additional instructions:<br /> - None<br />";I looking for place where having a elementary schools containing a library and driving school next door.;"area:
  type: bbox
entities:
  - id: 0
    type: nwr
    name: elementary schools
  - id: 1
    type: nwr
    name: library
  - id: 2
    type: nwr
    name: driving school
relations:  
  - type: contains
    source: 0
    target: 1
  - type: dist
    source: 0
    target: 2
    value: 50 m";;;;;;;;;;;;;;;;;;
doc_327;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 1 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /> - At least one of the objects must be a brand name.<br /><br />The area you are searching in is:<br /> - Smørumnedre, Capital Region of Denmark, Denmark<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - The objects are in no specific relation to another, search for them like they're unrelated.<br /><br />The overall style of your prompt should be:<br /> - Simple language, multiple sentences.<br /> - Containing many typos.<br /><br />Additional instructions:<br /> - When writing the prompt, please make sure you use Khmer letters for the the area name. We suggest using an (AI) translation tool to transform the area name into the respective writing.<br />";I ma lookign for a clothing store in ????????????? ???????????????????????????? ??????????????? The cloting store should be a H&M.;"area:
 type: area
 value: ????????????? ???????????????????????????? ??????????????
entities:
  - id: 0
    type: nwr
    name: clothing store
    properties:
      - name: brand
        operator: ~
        value: ""H&M""";;K;;;;;;;;;;;;;;;;
doc_46;Please use the following data to write a prompt for finding a location with SPOT.<br /><br /><br />The objects you are looking for are:<br /> - dune<br /> - lighthouse<br /> - beach hut<br /><br /><br />The area you are searching in is:<br /> - Hesse<br /><br /><br />In your search the objects have the following relations to each other:<br /> - The lighthouse is contained in the dune<br /> - The tailor is more or less 160 m away from the lighthouse<br /><br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, all in one sentence.<br /><br /><br />Additional instructions:<br /> - None<br />;Go and locate a lighthouse in the dunes in Hesse, with a beach not more than 160m away from the lighthouse.;"area:
    type: area
    value: Hesse
entities:
  - id: 0
    type: nwr
    name: dune
  - id: 1
    type: nwr
    name: lighthouse
  - id: 2
    type: nwr
    name: beach
relations:
  - type: contains
    source: 0
    target: 1
  - type: dist
    source: 1
    target: 2
    value: 160m";;;;;;;;;;;;;;;;;;
doc_45;Please use the following data to write a prompt for finding a location with SPOT.<br /><br />The objects you are looking for are:<br /> - dune<br /> - lighthouse<br /> - beach hut<br /><br />The area you are searching in is:<br /> - Hesse<br /><br />In your search the objects have the following relations to each other:<br /> - The lighthouse is contained in the dune<br /> - The tailor is more or less 160 m away from the lighthouse<br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, all in one sentence.<br /><br />Additional instructions:<br /> - None<br />;Show me aparks that contain a football field with a fountaine not more than 12.4 yards away from it in Munich, Bavaria.;"area:
    type: area
    value: Munich, Bavaria
entities:
  - id: 0
    type: nwr
    name: park
  - id: 1
    type: nwr
    name: football field
  - id: 2
    type: nwr
    name: fountain
relations:
  - type: contains
    source: 0
    target: 1
  - type: dist
    source: 1
    target: 2
    value: 12.4 yards";;;;;;;;;;;;;;;;;;
doc_27;Please use the following data to write a prompt for finding a location with SPOT.<br /><br /><br />The objects you are looking for are:<br /> - office building, with floors: lower than 10<br /> - vacant shop<br /> - gambling den<br /><br /><br />The area you are searching in is:<br /> - Please don't specify a search area.<br /><br /><br />In your search the objects have the following relations to each other:<br /> - The vacant shop is within the office building<br /> - The gambling den is 0.5 miles from the vacant shop<br /><br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, multiple sentences.<br /><br /><br />Additional instructions:<br /> - None<br />;Please find me all gambling dens that can be found in less than 0.5 miles from a vacant shop. The vacant shop is contained in a office building that has not more than 10 floors.;"area:
    type: area
    value: Vilnius, Vilnius City Municipality, Lithuania
entities:
  - id: 0
    type: nwr
    name: gambling dens
  - id: 1
    type: nwr
    name: vacant shop
  - id: 2
    type: nwr
    name: office building
    properties:
      - name: levels
        operator: <
        value: 11
relations:  
  - type: dist
    source: 0
    target: 1
    value: 0.5 miles
  - type: contains
    source: 2
    target: 1";;;;;;;;;;;;;;;;;;
doc_42;"Please use the following data to write a prompt for finding a location with SPOT.<br /><br /><br />The objects you are looking for are:<br /> - side chapel<br /><br /><br />The area you are searching in is:<br /> - Vilnius, Vilnius City Municipality, Lithuania<br /><br /><br />In your search the objects have the following relations to each other:<br /> - None<br /> <br /><br />The overall style of your prompt should be:<br /> - Elaborate wording.<br /> - Containing a few grammar mistakes.<br /><br /><br />Additional instructions:<br /> - Please treat Object 1 as a cluster of 3 of this Object when writing the prompt (similar to ""three houses"" instead of ""house"").<br />";Could you help please me find three side chapels in Vilnius, Vilnius City Municipality, Lithuania that are 1m apart from each other.;"area:
    type: area
    value: Vilnius, Vilnius City Municipality, Lithuania
entities:
  - id: 0
    type: cluster
    name: side chapels
    minPoints: 3
    maxDistance: 1m";;;;;;;;;;;;;;;;;;
doc_437;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Pays-de-la-Loire, France<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the metric system (meters (m), kilometers (km)).<br /><br />The overall style of your prompt should be:<br /> - Simple language, all in one sentence.<br /><br />Additional instructions:<br /> - Please treat one of the objects as a cluster of 7 of this Object when writing the prompt (similar to ""three houses"" instead of ""house"").<br />";Search for seven butchers at 23,5 meters distance from each other in Pays-de-la-Loire, France within 550 meters of a Wifi Hotspot which in turn is no more than 330 meters away from a bus stop.;"area:
    type: area
    value: Pays-de-la-Loire, France
entities:
  - id: 0
    type: cluster
    name: butcher
    minPoints: 7
    maxDistance: 23,5 meters
  - id: 1
    type: nwr
    name: Wifi Hotspot
  - id: 2
    type: nwr
    name: bus stop
relations:
  - type: dist
    source: 0
    target: 1
    value: 550 meters
  - type: dist
    source: 1
    target: 2
    value: 330 meters";;;;;;;;;;;;;;;;;;
doc_7;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 1 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /> - At least one of the objects must be a brand name.<br /><br />The area you are searching in is:<br /> - Pennsylvania, United States<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - The objects are in no specific relation to another, search for them like they're unrelated.<br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, all in one sentence.<br /><br />Additional instructions:<br /> - Please treat one of the objects as a cluster of 5 of this Object when writing the prompt (similar to ""three houses"" instead of ""house"").<br /> - When writing the prompt, please make sure you use Greek letters for the brand name. We suggest using an (AI) translation tool to transform the brand name into the respective writing.<br />";Is there an Esso gas station in Pennsylvania, US;"area:
    type: area
    value: Pennsylvania, US
entities:
  - id: 0
    type: nwr
    name: gas station
    properties:
      - name: brand
        operator: ~
        value: Esso";;;;;;;;;;;;;;;;;;
